Species;origin;disp;dec
Acca selowiana;Native;z;dec
Allophylus edulis;Native;z;dec
Annona rugulosa;Native;z;dec
Araucaria angustifolia;Native;z;per
Baccharis uncinella;Native;nz;per
Banara tomentosa;Native;z;dec
Berberis laurina;Native;z;per
Blepharocalyx salicifolius;Native;z;per
Calyptranthes concinna;Native;z;per
Campomanesia xanthocarpa;Native;z;dec
Casearia decandra;Native;z;dec
Casearia obliqua;Native;z;dec
Cedrela fissilis;Native;nz;dec
Cinnamodendron dinisii;Native;z;per
Cinnamomum amoenum;Native;z;per
Citronella gongonha;Native;z;per
Clethra scabra ;Native;nz;per
Crinodendron brasiliense  ;Native;nz;per
Cupania vernalis;Native;z;per
Dalbergia frutescens;Native;nz;dec
Dasyphyllum spinescens;Native;nz;dec
Dasyphyllum tomentosum;Native;nz;dec
Drimys angustifolia;Native;z;per
Drimys brasiliensis;Native;z;per
Duranta vestita;Native;z;dec
Erythroxylum deciduum;Native;z;dec
Erythrina sp.;Native;nz;dec
Escallonia bifida ;Native;z;dec
Eugenia pyriformis;Native;z;per
Eugenia uniflora;Native;z;per
Eugenia uruguayensis;Native;z;per
Gochnatia polymorpha;Native;nz;dec
Hovenia dulcis;Exotic;z;dec
Ilex microdonta;Native;z;per
Ilex paraguariensis;Native;z;per
Ilex theezans;Native;z;per
Inga lentiscifolia;Native;z;per
Inga virescens ;Native;z;per
Jacaranda puberula;Native;nz;dec
Lamanonia ternata;Native;nz;per
Ligustrum lucidum;Exotic;z;per
Lithraea brasiliensis;Native;z;per
Luehea divaricata;Native;nz;dec
Machaerium paraguariense;Native;nz;dec
Matayba elaeagnoides;Native;z;per
Maytenus boaria;Native;z;per
Mimosa scabrella ;Native;nz;per
Morus nigra;Exotic;z;dec
Muellera campestris;Native;nz;dec
Myrceugenia euosma;Native;z;per
Myrceugenia glaucescens;Native;z;per
Myrceugenia mesomischa;Native;z;per
Myrceugenia miersiana ;Native;z;per
Myrceugenia myrcioides;Native;z;per
Myrceugenia oxysepala ;Native;z;per
Myrceugenia regnelliana;Native;z;per
Myrcia guianensis;Native;z;per
Myrcia hatschbachii;Native;z;per
Myrcia oblongata;Native;z;per
Myrcia palustris;Native;z;per
Myrcia selloi;Native;z;per
Myrcia splendens ;Native;z;per
Myrcianthes gigantea;Native;z;per
Myrcianthes pungens;Native;z;per
Myrocarpus frondosus;Native;nz;dec
Myrrhinium atropurpureum;Native;z;per
Myrsine coriacea ;Native;z;per
Myrsine lorentziana ;Native;z;per
Myrsine umbellata;Native;z;per
Nectandra lanceolata;Native;z;per
Nectandra megapotamica;Native;z;per
Ocotea puberula;Native;z;per
Ocotea pulchella;Native;z;per
Oreopanax fulvum;Native;z;per
Parapiptadenia rigida;Native;nz;dec
Pilocarpus pennatifolius;Native;z;dec
Pinus elliottii;Exotic;nz;per
Pinus taeda;Exotic;nz;per
Piptocarpha angustifolia;Native;nz;per
Podocarpus lambertii;Native;z;per
Prunus myrtifolia;Native;z;dec
Sapium glandulosum;Native;z;dec
Schinus sp.;Native;z;dec
Schinus terebinthifolius;Native;z;per
Sebastiania brasiliensis;Native;nz;dec
Scutia buxifolia;Native;z;per
Gymnanthes klotzschiana;Native;nz;dec
Siphoneugena reitzii ;Native;z;per
Styrax leprosus;Native;z;per
Symplocos tetrandra ;Native;z;dec
Symplocos uniflora;Native;z;dec
Vernonanthura discolor ;Native;nz;per
Weinmannia paulliniifolia;Native;nz;per
Xylosma ciliatifolia ;Native;z;dec
Zanthoxylum kleinii;Native;z;dec
Zanthoxylum rhoifolium;Native;z;dec
